Category: All categories

Week,amazon fresh: (United States)
2019-12-15,11
2019-12-22,10
2019-12-29,11
2020-01-05,15
2020-01-12,13
2020-01-19,14
2020-01-26,15
2020-02-02,12
2020-02-09,14
2020-02-16,13
2020-02-23,15
2020-03-01,15
2020-03-08,37
2020-03-15,100
2020-03-22,82
2020-03-29,83
2020-04-05,73
2020-04-12,39
2020-04-19,24
2020-04-26,23
2020-05-03,23
2020-05-10,20
2020-05-17,19
2020-05-24,19
2020-05-31,18
2020-06-07,17
2020-06-14,17
2020-06-21,19
2020-06-28,22
2020-07-05,23
2020-07-12,20
2020-07-19,24
2020-07-26,20
2020-08-02,21
2020-08-09,20
2020-08-16,19
2020-08-23,21
2020-08-30,20
2020-09-06,16
2020-09-13,18
2020-09-20,19
2020-09-27,17
2020-10-04,19
2020-10-11,25
2020-10-18,43
2020-10-25,27
2020-11-01,22
2020-11-08,30
2020-11-15,27
2020-11-22,22
2020-11-29,23
2020-12-06,28
