Category: All categories

Week,fitness class: (United States)
2019-12-22,67
2019-12-29,100
2020-01-05,94
2020-01-12,92
2020-01-19,89
2020-01-26,75
2020-02-02,79
2020-02-09,71
2020-02-16,67
2020-02-23,71
2020-03-01,65
2020-03-08,54
2020-03-15,34
2020-03-22,14
2020-03-29,15
2020-04-05,13
2020-04-12,15
2020-04-19,13
2020-04-26,16
2020-05-03,13
2020-05-10,14
2020-05-17,18
2020-05-24,21
2020-05-31,21
2020-06-07,25
2020-06-14,30
2020-06-21,28
2020-06-28,29
2020-07-05,28
2020-07-12,20
2020-07-19,22
2020-07-26,20
2020-08-02,18
2020-08-09,22
2020-08-16,28
2020-08-23,20
2020-08-30,27
2020-09-06,24
2020-09-13,28
2020-09-20,26
2020-09-27,29
2020-10-04,26
2020-10-11,26
2020-10-18,20
2020-10-25,25
2020-11-01,22
2020-11-08,26
2020-11-15,21
2020-11-22,18
2020-11-29,19
2020-12-06,20
2020-12-13,25
