Category: All categories

Week,marriott: (United States)
2019-12-15,79
2019-12-22,81
2019-12-29,97
2020-01-05,95
2020-01-12,99
2020-01-19,95
2020-01-26,86
2020-02-02,88
2020-02-09,98
2020-02-16,100
2020-02-23,94
2020-03-01,90
2020-03-08,78
2020-03-15,53
2020-03-22,33
2020-03-29,29
2020-04-05,25
2020-04-12,26
2020-04-19,25
2020-04-26,27
2020-05-03,30
2020-05-10,34
2020-05-17,42
2020-05-24,41
2020-05-31,47
2020-06-07,57
2020-06-14,58
2020-06-21,59
2020-06-28,54
2020-07-05,53
2020-07-12,52
2020-07-19,55
2020-07-26,55
2020-08-02,58
2020-08-09,57
2020-08-16,54
2020-08-23,53
2020-08-30,58
2020-09-06,54
2020-09-13,48
2020-09-20,49
2020-09-27,49
2020-10-04,68
2020-10-11,53
2020-10-18,50
2020-10-25,46
2020-11-01,38
2020-11-08,46
2020-11-15,43
2020-11-22,37
2020-11-29,38
2020-12-06,39
