Category: All categories

Week,AMC Theatres: (United States),Disney+: (United States)
2019-12-15,53,67
2019-12-22,100,74
2019-12-29,83,61
2020-01-05,52,42
2020-01-12,53,37
2020-01-19,57,38
2020-01-26,42,31
2020-02-02,36,31
2020-02-09,51,33
2020-02-16,47,30
2020-02-23,38,30
2020-03-01,35,24
2020-03-08,31,26
2020-03-15,18,54
2020-03-22,4,51
2020-03-29,4,53
2020-04-05,6,49
2020-04-12,5,41
2020-04-19,3,33
2020-04-26,6,32
2020-05-03,4,34
2020-05-10,8,34
2020-05-17,4,28
2020-05-24,4,25
2020-05-31,6,23
2020-06-07,7,24
2020-06-14,7,23
2020-06-21,5,30
2020-06-28,5,81
2020-07-05,4,48
2020-07-12,4,29
2020-07-19,4,27
2020-07-26,4,28
2020-08-02,4,29
2020-08-09,11,25
2020-08-16,16,26
2020-08-23,12,27
2020-08-30,13,47
2020-09-06,12,38
2020-09-13,9,27
2020-09-20,9,26
2020-09-27,9,25
2020-10-04,10,25
2020-10-11,16,24
2020-10-18,16,23
2020-10-25,11,30
2020-11-01,9,26
2020-11-08,13,30
2020-11-15,9,34
2020-11-22,10,43
2020-11-29,9,36
2020-12-06,8,37
