Category: All categories

Week,expedia: (United States),airbnb: (United States)
2019-12-22,41,57
2019-12-29,48,69
2020-01-05,50,72
2020-01-12,51,69
2020-01-19,50,71
2020-01-26,47,66
2020-02-02,46,63
2020-02-09,49,70
2020-02-16,48,71
2020-02-23,49,71
2020-03-01,45,67
2020-03-08,65,74
2020-03-15,35,43
2020-03-22,19,29
2020-03-29,15,30
2020-04-05,13,27
2020-04-12,14,27
2020-04-19,14,31
2020-04-26,15,42
2020-05-03,16,54
2020-05-10,17,59
2020-05-17,20,73
2020-05-24,21,72
2020-05-31,22,72
2020-06-07,28,90
2020-06-14,27,90
2020-06-21,27,89
2020-06-28,23,82
2020-07-05,21,85
2020-07-12,21,82
2020-07-19,22,82
2020-07-26,21,79
2020-08-02,24,74
2020-08-09,24,78
2020-08-16,23,76
2020-08-23,23,72
2020-08-30,26,71
2020-09-06,25,62
2020-09-13,22,63
2020-09-20,23,58
2020-09-27,24,58
2020-10-04,25,57
2020-10-11,23,54
2020-10-18,24,55
2020-10-25,22,47
2020-11-01,18,37
2020-11-08,22,51
2020-11-15,19,51
2020-11-22,17,42
2020-11-29,18,49
2020-12-06,17,100
2020-12-13,18,62
